iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo
ARG,1960,Bienes,A,Agro y pesca,1537.294248944668,0.20287237
ARG,1960,Bienes,B,Petróleo y minería,24.97375955426171,0.0032957161
ARG,1960,Bienes,C,Industria,2001.254881712766,0.26409993
ARG,1960,Bienes,DE,"Electricidad, gas y agua",166.2252555696748,0.021936275
ARG,1960,Bienes,F,Construcción,445.7284481144451,0.058821518
ARG,1960,Servicios,GI,"Comercio, hoteles y restaurantes",915.0358479978288,0.12075469
ARG,1960,Servicios,H,Transporte,650.9955351335009,0.085910037
ARG,1960,Servicios,JMN,Servicios empresariales,269.6317949195935,0.035582542
ARG,1960,Servicios,K,Finanzas,38.23046209486795,0.0050451658
ARG,1960,Servicios,L,Servicios inmobiliarios,29.47427988334727,0.0038896371
ARG,1960,Servicios,OPQ,"Administración pública, defensa, educación y salud",960.9618154976464,0.12681541
ARG,1960,Servicios,RSTU,Otros servicios,537.8362395292098,0.070976727
ARG,1961,Bienes,A,Agro y pesca,1446.672997667873,0.1885418
ARG,1961,Bienes,B,Petróleo y minería,29.37145354142965,0.0038279186
ARG,1961,Bienes,C,Industria,2036.988965627985,0.26547641
ARG,1961,Bienes,DE,"Electricidad, gas y agua",178.3444083965746,0.023243245
ARG,1961,Bienes,F,Construcción,451.5245579350303,0.058846228
ARG,1961,Servicios,GI,"Comercio, hoteles y restaurantes",1019.411025022037,0.13285765
ARG,1961,Servicios,H,Transporte,656.9551620371184,0.085619561
ARG,1961,Servicios,JMN,Servicios empresariales,271.3145314097143,0.035359841
ARG,1961,Servicios,K,Finanzas,38.4690533693888,0.0050135893
ARG,1961,Servicios,L,Servicios inmobiliarios,30.44064965609951,0.0039672647
ARG,1961,Servicios,OPQ,"Administración pública, defensa, educación y salud",980.1278976270168,0.12773797
ARG,1961,Servicios,RSTU,Otros servicios,533.3357032748377,0.0695085
ARG,1962,Bienes,A,Agro y pesca,1533.20759328603,0.19716708
ARG,1962,Bienes,B,Petróleo y minería,32.01751633901787,0.0041173813
